id,order_id,customer_id,product_id,quantity,amount,status,ordered_at,updated_at
order-001,order-001,customer-001,product-001,2,15.12,paid,2026-09-12T09:21:00Z,2026-09-12T09:22:00Z
order-002,order-002,customer-002,product-002,3,32.85,paid,2026-09-12T09:22:00Z,2026-09-12T09:23:00Z
order-003,order-003,customer-003,product-003,4,52.92,shipped,2026-09-12T09:23:00Z,2026-09-12T09:24:00Z
order-004,order-004,customer-004,product-004,5,79.9,paid,2026-09-12T09:24:00Z,2026-09-12T09:25:00Z
order-005,order-005,customer-005,product-005,1,18.27,open,2026-09-12T09:25:00Z,2026-09-12T09:26:00Z
order-006,order-006,customer-006,product-006,2,41.32,open,2026-09-12T09:26:00Z,2026-09-12T09:27:00Z
order-007,order-007,customer-007,product-007,3,68.01,shipped,2026-09-12T09:27:00Z,2026-09-12T09:28:00Z
order-008,order-008,customer-008,product-008,4,103.48,open,2026-09-12T09:28:00Z,2026-09-12T09:29:00Z
order-009,order-009,customer-009,product-009,5,142.3,open,2026-09-12T09:29:00Z,2026-09-12T09:30:00Z
order-010,order-010,customer-010,product-010,1,30.76,cancelled,2026-09-12T09:30:00Z,2026-09-12T09:31:00Z
order-011,order-011,customer-011,product-011,2,65.4,paid,2026-09-12T09:31:00Z,2026-09-12T09:32:00Z
order-012,order-012,customer-012,product-012,3,106.2,open,2026-09-12T09:32:00Z,2026-09-12T09:33:00Z
order-013,order-013,customer-013,product-013,4,152.6,open,2026-09-12T09:33:00Z,2026-09-12T09:34:00Z
order-014,order-014,customer-014,product-014,5,204.5,paid,2026-09-12T09:34:00Z,2026-09-12T09:35:00Z
order-015,order-015,customer-015,product-015,1,42.62,open,2026-09-12T09:35:00Z,2026-09-12T09:36:00Z
order-016,order-016,customer-016,product-016,2,90.12,open,2026-09-12T09:36:00Z,2026-09-12T09:37:00Z
order-017,order-017,customer-017,product-017,3,144.27,paid,2026-09-12T09:37:00Z,2026-09-12T09:38:00Z
order-018,order-018,customer-018,product-018,4,202.36,cancelled,2026-09-12T09:38:00Z,2026-09-12T09:39:00Z
order-019,order-019,customer-019,product-019,5,262.85,open,2026-09-12T09:39:00Z,2026-09-12T09:40:00Z
order-020,order-020,customer-020,product-020,1,55.06,paid,2026-09-12T09:40:00Z,2026-09-12T09:41:00Z
order-021,order-021,customer-021,product-021,2,116.82,open,2026-09-12T09:41:00Z,2026-09-12T09:42:00Z
order-022,order-022,customer-022,product-022,3,180.21,open,2026-09-12T09:42:00Z,2026-09-12T09:43:00Z
order-023,order-023,customer-023,product-023,4,251.12,cancelled,2026-09-12T09:43:00Z,2026-09-12T09:44:00Z
order-024,order-024,customer-024,product-024,5,326.05,shipped,2026-09-12T09:44:00Z,2026-09-12T09:45:00Z
order-025,order-025,customer-025,product-025,1,68.22,shipped,2026-09-12T09:45:00Z,2026-09-12T09:46:00Z
order-026,order-026,customer-026,product-026,2,141.16,paid,2026-09-12T09:46:00Z,2026-09-12T09:47:00Z
order-027,order-027,customer-027,product-027,3,219.84,shipped,2026-09-12T09:47:00Z,2026-09-12T09:48:00Z
order-028,order-028,customer-028,product-028,4,300.76,paid,2026-09-12T09:48:00Z,2026-09-12T09:49:00Z
